Total_Loss	Data_Loss	Mass_Loss
6.385468691587448120e-02	2.312977332621812820e-03	6.153828278183937073e-02
5.824147164821624756e-02	2.940174890682101250e-03	5.529975891113281250e-02
2.807119488716125488e-02	3.367627738043665886e-03	2.470356784760951996e-02
5.416884645819664001e-02	2.156111877411603928e-03	5.200960114598274231e-02
6.571713089942932129e-02	4.366801586002111435e-03	6.134741008281707764e-02
4.818365350365638733e-02	2.686223946511745453e-03	4.549443721771240234e-02
1.352230086922645569e-03	2.884542336687445641e-04	1.063775853253901005e-03
1.353823929093778133e-03	2.915700897574424744e-04	1.062253839336335659e-03
4.735718294978141785e-02	2.357554621994495392e-03	4.499663785099983215e-02
5.021819844841957092e-02	2.816242398694157600e-03	4.739867895841598511e-02
1.424178853631019592e-02	2.655733143910765648e-03	1.158605515956878662e-02
5.309894390848057810e-07	2.131261425120101194e-07	3.178149370341998292e-07
5.384699618769914382e-16	1.343312727424147111e-16	4.041387156043563288e-16
5.104434421809855849e-07	2.170867503537010634e-07	2.933456073606066639e-07
4.489225204906688305e-07	1.755910261636017822e-07	2.732973598540411331e-07
5.937574752343504486e-15	1.263056567430038968e-15	4.674518184913465518e-15
4.372826367671223124e-07	1.858792302300571464e-07	2.513774859380646376e-07
4.691493131758761592e-07	1.806876497312259744e-07	2.884291632199165178e-07
5.030465786148852203e-07	1.910910469860027661e-07	3.119142490959347924e-07
7.050270266141696329e-16	1.779526886675129285e-16	5.270743511815465052e-16
5.621782293019350618e-07	1.917802734396900632e-07	3.703734989812801359e-07
9.659856914367992431e-07	2.222209047886281041e-07	7.437629960804770235e-07
6.058626560176221497e-16	1.533260659939312013e-16	4.525365635539113467e-16
4.872160511781929281e-16	1.215712904922901130e-16	3.656447474510130143e-16
