Total_Loss	Data_Loss	Mass_Loss
2.557776309549808502e-02	1.902160351164638996e-03	2.367253974080085754e-02
1.810734532773494720e-02	9.733176557347178459e-04	1.713194139301776886e-02
1.500908471643924713e-02	3.269681474193930626e-03	1.173940300941467285e-02
2.343786507844924927e-02	1.780998427420854568e-03	2.165401540696620941e-02
2.471180260181427002e-02	2.114471746608614922e-03	2.259447984397411346e-02
2.456301636993885040e-02	2.171978121623396873e-03	2.238825522363185883e-02
3.318718634545803070e-03	4.803560150321573019e-04	2.838362706825137138e-03
2.808818593621253967e-03	3.965280193369835615e-04	2.412290545180439949e-03
2.867820486426353455e-02	2.744538011029362679e-03	2.593046054244041443e-02
2.620963007211685181e-02	2.524519804865121841e-03	2.368211932480335236e-02
1.319990865886211395e-02	2.908139955252408981e-03	1.029176823794841766e-02
8.909601660889165942e-07	2.302190864611475263e-07	6.607002660530270077e-07
3.504774781504238490e-08	9.778017506789637991e-09	2.526972942007432721e-08
9.122082360590866301e-07	2.322952497024743934e-07	6.799110678912256844e-07
8.171820127245155163e-07	2.099759512930177152e-07	6.071739448998414446e-07
3.401873271968725021e-08	8.972067533363770053e-09	2.504666340996664076e-08
2.291442058321990771e-08	5.928136204147449462e-09	1.698628437907245825e-08
8.144837124746118207e-07	2.034573753917356953e-07	6.109932542130991351e-07
8.507884103892138228e-07	2.178461642188267433e-07	6.329180450848070905e-07
5.256405088971405348e-08	1.471244104322977364e-08	3.785160984648427984e-08
8.540542353330238257e-07	2.147496616089483723e-07	6.393045737240754534e-07
9.153182531917991582e-07	2.011734920870367205e-07	7.141078981476312038e-07
3.217251531850706670e-08	8.822433450461630855e-09	2.335008275622385554e-08
2.382456187888237764e-08	6.512672179326273181e-09	1.731189058773452416e-08
